gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
a1cf	8	48	15	6	605.5500000000001	1211.1000000000001	92	1
aaas	5	30	8	6	515.7900000000001	1031.5800000000002	92	1
aacs	9	46	11	10	670.23	1340.46	92	1
aadac	11	45	4	7	408.87	817.74	92	1
aadacl4	26	48	7	9	412.83000000000004	825.6600000000001	92	1
aadat	11	27	5	9	413.82	827.64	92	1
aagab	18	27	6	3	319.77000000000004	639.5400000000001	92	1
aamdc	4	17	1	0	121.77000000000001	243.54000000000002	92	1
aanat1	4	8	1	1	200.97	401.94	92	1
aanat2	7	3	3	2	220.77	441.54	92	1
aar2	7	25	6	4	385.11	770.22	92	1
aars1	12	66	17	18	957.33	1914.66	92	1
aars2	34	55	18	15	975.1500000000001	1950.3000000000002	92	1
aarsd1	8	25	4	9	404.91	809.82	92	1
aasdh	48	65	29	23	1035.54	2071.08	92	1
aasdhppt	19	19	7	3	301.95	603.9	92	1
aass	8	46	8	15	918.72	1837.44	92	1
aatf	37	60	7	6	536.58	1073.16	92	1
aatka	103	133	26	32	1621.6200000000001	3243.2400000000002	92	1
aatkb	109	119	35	32	1624.5900000000001	3249.1800000000003	92	1
abat	4	11	3	2	495.99	991.98	92	1
abca12	342	330	83	57	4425.3	8850.6	92	1
abca1b	47	161	18	35	2284.92	4569.84	92	1
abca2	55	198	19	36	2442.33	4884.66	92	1
abca3b	54	152	22	32	2093.52	4187.04	92	1
abca4a	75	166	24	34	2305.71	4611.42	92	1
abca5	69	137	20	23	1657.26	3314.52	92	1
abcb10	16	43	3	13	701.9100000000001	1403.8200000000002	92	1
abcb11a	60	124	18	18	1282.05	2564.1	92	1
abcb11b	24	101	8	17	1348.38	2696.76	92	1
abcb4	30	98	5	13	1282.05	2564.1	92	1
abcb6a	43	43	9	11	841.5	1683	92	1
abcb6b	13	24	9	5	623.37	1246.74	92	1
abcb7	10	68	5	6	739.5300000000001	1479.0600000000002	92	1
abcb8	22	66	6	12	701.9100000000001	1403.8200000000002	92	1
abcb9	40	53	28	18	817.74	1635.48	92	1
abcc1	33	118	20	23	1496.88	2993.76	92	1
abcc10	70	69	37	19	1517.67	3035.34	92	1
abcc2	46	119	15	23	1551.3300000000002	3102.6600000000003	92	1
abcc3	52	139	13	28	1633.17	3266.34	92	1
abcc6a	56	115	5	20	1495.89	2991.78	92	1
abcc8	17	126	7	19	1614.69	3229.38	92	1
abcc9	21	69	14	20	1570.14	3140.28	92	1
abcd1	23	30	5	4	731.61	1463.22	92	1
abcd3a	18	57	9	10	654.39	1308.78	92	1
abcd4	12	43	3	11	609.84	1219.68	92	1
abce1	1	24	9	8	594	1188	92	1
abcf1	11	45	3	10	784.08	1568.16	92	1
abcf3	2	32	16	13	704.88	1409.76	92	1
abcg2a	19	24	10	8	642.51	1285.02	92	1
abcg2b	9	45	9	13	610.83	1221.66	92	1
abcg2d	17	36	6	7	662.3100000000001	1324.6200000000001	92	1
abcg4a	2	45	4	8	675.1800000000001	1350.3600000000001	92	1
abcg5	14	44	10	12	718.74	1437.48	92	1
abcg8	8	40	7	9	664.2900000000001	1328.5800000000002	92	1
abch1	11	33	7	10	752.4000000000001	1504.8000000000002	92	1
abhd10b	8	24	6	6	288.09000000000003	576.1800000000001	92	1
abhd11	4	27	2	1	307.89	615.78	92	1
abhd12	25	7	10	7	458.37	916.74	92	1
abhd13	3	37	0	4	348.48	696.96	92	1
abhd14a	1	29	1	3	263.34000000000003	526.6800000000001	92	1
abhd14b	12	18	3	1	276.21000000000004	552.4200000000001	92	1
abhd15a	14	22	11	15	497.97	995.94	92	1
abhd16a	19	27	3	2	585.09	1170.18	92	1
abhd17aa	4	35	3	2	373.23	746.46	92	1
abhd17ab	6	22	5	7	348.48	696.96	92	1
abhd17b	1	28	1	3	286.11	572.22	92	1
abhd17c	4	21	1	3	292.05	584.1	92	1
abhd18	7	21	5	2	453.42	906.84	92	1
abhd3	2	27	2	3	409.86	819.72	92	1
abhd4	9	37	2	3	361.35	722.7	92	1
abhd5a	14	16	2	3	371.25	742.5	92	1
abhd6b	3	23	5	4	337.59000000000003	675.1800000000001	92	1
abi1a	5	16	21	16	561.33	1122.66	92	1
abi3a	31	34	6	9	521.07	1042.14	92	1
abi3b	5	2	23	5	382.8	765.6	92	1
abitram	3	9	2	2	181.17000000000002	362.34000000000003	92	1
abl1	47	72	23	24	1192.29	2384.58	92	1
abl2	38	102	14	28	1252.68	2505.36	92	1
ablim1a	14	50	15	11	759	1518	92	1
ablim2	20	32	9	3	731.61	1463.22	92	1
ablim3	13	39	10	11	689.0400000000001	1378.0800000000002	92	1
abr	40	52	10	13	1256.3100000000002	2512.6200000000003	92	1
abraa	22	25	5	2	351.45	702.9	92	1
abracl	11	11	0	0	79.2	158.4	92	1
abraxas1	8	8	3	3	326.7	653.4	92	1
abraxas2	13	27	3	1	438.57	877.14	92	1
abt1	14	13	3	3	343.53000000000003	687.0600000000001	92	1
abtb1	9	25	6	3	472.23	944.46	92	1
abtb2b	30	95	10	11	1043.46	2086.92	92	1
acaa1	10	27	6	6	421.74	843.48	92	1
acaa2	8	23	2	4	393.03000000000003	786.0600000000001	92	1
acaca	29	168	10	29	2383.92	4767.84	92	1
acacb	51	169	20	25	2397.78	4795.56	92	1
acad11	21	59	5	11	762.3000000000001	1524.6000000000001	92	1
acad8	19	36	1	4	463.32000000000005	926.6400000000001	92	1
acad9	10	58	3	15	624.69	1249.38	92	1
acadl	23	23	3	8	433.62	867.24	92	1
acadm	8	41	1	5	420.75	841.5	92	1
acads	3	12	1	3	401.94	803.88	92	1
acadsb	14	39	6	5	428.67	857.34	92	1
acadvl	8	34	7	9	651.4200000000001	1302.8400000000001	92	1
acanb	84	98	14	22	1283.04	2566.08	92	1
acap1	21	43	10	11	754.38	1508.76	92	1
acat1	5	34	2	10	396.66	793.32	92	1
acat2	11	32	4	4	392.04	784.08	92	1
acbd3	12	36	3	4	539.5500000000001	1079.1000000000001	92	1
acbd4	9	22	6	3	406.89000000000004	813.7800000000001	92	1
acbd5a	14	18	6	9	496.98	993.96	92	1
acbd6	8	14	1	3	296.01	592.02	92	1
accs	39	73	26	15	959.3100000000001	1918.6200000000001	92	1
acd	59	67	9	4	562.32	1124.64	92	1
ace	60	85	24	26	1276.1100000000001	2552.2200000000003	92	1
ace2	56	49	18	14	806.85	1613.7	92	1
acer1	15	33	5	6	273.24	546.48	92	1
