gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
a1cf	8	48	4	12	605.5500000000001	1211.1000000000001	95	1
aaas	5	30	3	5	515.7900000000001	1031.5800000000002	95	1
aacs	9	46	3	9	670.23	1340.46	95	1
aadac	11	45	1	5	408.87	817.74	95	1
aadacl4	26	48	3	8	412.83000000000004	825.6600000000001	95	1
aadat	11	27	2	5	413.82	827.64	95	1
aagab	18	27	2	4	319.77000000000004	639.5400000000001	95	1
aamdc	4	17	2	1	121.77000000000001	243.54000000000002	95	1
aanat1	4	8	3	3	200.97	401.94	95	1
aanat2	7	3	3	1	220.77	441.54	95	1
aar2	7	25	1	2	385.11	770.22	95	1
aars1	12	66	6	11	957.33	1914.66	95	1
aars2	34	55	9	6	975.1500000000001	1950.3000000000002	95	1
aarsd1	8	25	10	7	404.91	809.82	95	1
aasdh	48	65	28	8	1035.54	2071.08	95	1
aasdhppt	19	19	5	2	301.95	603.9	95	1
aass	8	46	3	13	918.72	1837.44	95	1
aatf	37	60	10	3	536.58	1073.16	95	1
aatka	103	133	16	15	1621.6200000000001	3243.2400000000002	95	1
aatkb	109	119	30	20	1624.5900000000001	3249.1800000000003	95	1
abat	4	11	2	3	495.99	991.98	95	1
abca12	342	330	60	46	4425.3	8850.6	95	1
abca1b	47	161	15	14	2284.92	4569.84	95	1
abca2	55	198	28	27	2442.33	4884.66	95	1
abca3b	54	152	22	22	2093.52	4187.04	95	1
abca4a	75	166	22	24	2305.71	4611.42	95	1
abca5	69	137	11	12	1657.26	3314.52	95	1
abcb10	16	43	0	0	701.9100000000001	1403.8200000000002	95	1
abcb11a	60	124	9	13	1282.05	2564.1	95	1
abcb11b	24	101	3	14	1348.38	2696.76	95	1
abcb4	30	98	7	10	1282.05	2564.1	95	1
abcb6a	43	43	4	5	841.5	1683	95	1
abcb6b	13	24	5	2	623.37	1246.74	95	1
abcb7	10	68	3	3	739.5300000000001	1479.0600000000002	95	1
abcb8	22	66	7	7	701.9100000000001	1403.8200000000002	95	1
abcb9	40	53	11	13	817.74	1635.48	95	1
abcc1	33	118	0	0	1496.88	2993.76	95	1
abcc10	70	69	14	17	1517.67	3035.34	95	1
abcc2	46	119	4	18	1551.3300000000002	3102.6600000000003	95	1
abcc3	52	139	6	20	1633.17	3266.34	95	1
abcc6a	56	115	7	8	1495.89	2991.78	95	1
abcc8	17	126	9	13	1614.69	3229.38	95	1
abcc9	21	69	15	10	1570.14	3140.28	95	1
